"module name","license","repository"
"@eslint-community/regexpp@4.12.1","MIT","https://github.com/eslint-community/regexpp"
"@eslint/compat@1.3.1","Apache-2.0","https://github.com/eslint/rewrite"
"@eslint/config-array@0.21.0","Apache-2.0","https://github.com/eslint/rewrite"
"@eslint/config-helpers@0.3.0","Apache-2.0","https://github.com/eslint/rewrite"
"@eslint/config-inspector@1.1.0","Apache-2.0","https://github.com/eslint/config-inspector"
"@eslint/core@0.15.1","Apache-2.0","https://github.com/eslint/rewrite"
"@eslint/eslintrc@3.3.1","MIT","https://github.com/eslint/eslintrc"
"@eslint/js@9.32.0","MIT","https://github.com/eslint/eslint"
"@eslint/markdown@7.1.0","MIT","https://github.com/eslint/markdown"
"@eslint/object-schema@2.1.6","Apache-2.0","https://github.com/eslint/rewrite"
"@eslint/plugin-kit@0.3.4","Apache-2.0","https://github.com/eslint/rewrite"
"@fast-csv/format@4.3.5","MIT","https://github.com/C2FO/fast-csv"
"@fast-csv/parse@4.3.6","MIT","https://github.com/C2FO/fast-csv"
"@fastify/accept-negotiator@1.1.0","MIT","https://github.com/fastify/accept-negotiator"
"@fastify/busboy@3.1.1","MIT","https://github.com/fastify/busboy"
"@googlemaps/js-api-loader@1.16.8","Apache-2.0","https://github.com/googlemaps/js-api-loader"
"@grpc/grpc-js@1.13.4","Apache-2.0","https://github.com/grpc/grpc-node.git#master"
"@grpc/proto-loader@0.7.15","Apache-2.0","https://github.com/grpc/grpc-node"
"@gtm-support/core@3.0.1","MIT","https://github.com/gtm-support/core"
"@gtm-support/vue-gtm@3.1.0","MIT","https://github.com/gtm-support/vue-gtm"
"@humanfs/core@0.19.1","Apache-2.0","https://github.com/humanwhocodes/humanfs"
"@humanfs/node@0.16.6","Apache-2.0","https://github.com/humanwhocodes/humanfs"
"@humanwhocodes/module-importer@1.0.1","Apache-2.0","https://github.com/humanwhocodes/module-importer"
"@humanwhocodes/retry@0.3.1","Apache-2.0","https://github.com/humanwhocodes/retry"
"@humanwhocodes/retry@0.4.3","Apache-2.0","https://github.com/humanwhocodes/retry"
"@intlify/bundle-utils@10.0.1","MIT","https://github.com/intlify/bundle-tools"
"@intlify/core-base@10.0.8","MIT","https://github.com/intlify/vue-i18n"
"@intlify/core-base@11.1.11","MIT","https://github.com/intlify/vue-i18n"
"@intlify/core@11.1.10","MIT","https://github.com/intlify/vue-i18n"
"@intlify/core@11.1.11","MIT","https://github.com/intlify/vue-i18n"
"@intlify/eslint-plugin-vue-i18n@4.1.0","MIT","https://github.com/intlify/eslint-plugin-vue-i18n"
"@intlify/h3@0.7.1","MIT","https://github.com/intlify/h3"
"@intlify/message-compiler@10.0.8","MIT","https://github.com/intlify/vue-i18n"
